Index,Activity
0,Running
1,Running
2,Running
3,Running
4,Running
5,Running
6,Running
7,Running
8,Running
9,Running
10,Running
11,Running
12,Running
13,Running
14,Running
15,Running
16,Running
17,Running
18,Running
19,Running
20,Running
21,Running
22,Running
23,Running
24,Running
25,Running
26,Running
27,Running
28,Running
29,Running
30,Running
31,Running
32,Jumping
33,Jumping
34,Jumping
35,Jumping
36,Jumping
37,Jumping
38,Jumping
39,Jumping
40,Jumping
41,Jumping
42,Jumping
43,Jumping
44,Jumping
45,Jumping
46,Jumping
47,Jumping
48,Jumping
49,Jumping
50,Jumping
51,Jumping
52,Jumping
53,Jumping
54,Jumping
55,Jumping
56,Jumping
57,Jumping
58,Jumping
59,Jumping
60,Jumping
61,Jumping
62,Jumping
63,Jumping
64,Jumping
65,Jumping
66,Jumping
67,Jumping
68,Jumping
69,Jumping
70,Jumping
71,Jumping
72,Jumping
73,Jumping
74,Jumping
75,Jumping
76,Jumping
77,Jumping
78,Jumping
79,Jumping
80,Jumping
81,Jumping
82,Jumping
83,Jumping
84,Jumping
85,Jumping
86,Jumping
87,Jumping
88,Jumping
89,Jumping
90,Jumping
91,Jumping
92,Jumping
93,Jumping
94,Jumping
95,Jumping
96,Jumping
97,Jumping
98,Jumping
99,Jumping
100,Jumping
101,Jumping
102,Jumping
103,Jumping
104,Jumping
105,Jumping
106,Jumping
107,Jumping
108,Jumping
109,Jumping
110,Jumping
111,Jumping
112,Jumping
113,Jumping
114,Jumping
115,Jumping
116,Jumping
117,Jumping
118,Jumping
119,Jumping
120,Jumping
121,Jumping
122,Jumping
123,Jumping
124,Jumping
125,Jumping
126,Jumping
127,Jumping
128,Jumping
129,Jumping
130,Jumping
131,Jumping
132,Jumping
133,Jumping
134,Jumping
135,Jumping
136,Jumping
137,Jumping
138,Jumping
139,Jumping
140,Jumping
141,Jumping
142,Jumping
143,Jumping
144,Jumping
145,Jumping
146,Jumping
147,Jumping
148,Jumping
149,Jumping
150,Jumping
151,Jumping
152,Jumping
153,Jumping
154,Jumping
155,Jumping
156,Jumping
157,Jumping
158,Jumping
159,Jumping
160,Jumping
161,Jumping
162,Jumping
163,Jumping
164,Jumping
165,Jumping
166,Jumping
167,Jumping
168,Jumping
169,Jumping
170,Jumping
171,Jumping
172,Jumping
173,Jumping
174,Jumping
175,Jumping
176,Jumping
177,Jumping
178,Jumping
179,Jumping
180,Jumping
181,Jumping
182,Jumping
183,Jumping
184,Jumping
185,Jumping
186,Jumping
187,Jumping
188,Jumping
189,Jumping
190,Jumping
191,Jumping
192,Jumping
193,Jumping
194,Jumping
195,Jumping
196,Jumping
197,Jumping
198,Jumping
199,Jumping
200,Jumping
201,Jumping
202,Jumping
203,Jumping
204,Jumping
205,Jumping
206,Jumping
207,Jumping
208,Jumping
209,Jumping
210,Jumping
211,Jumping
212,Jumping
213,Jumping
214,Jumping
215,Jumping
216,Jumping
217,Jumping
218,Jumping
219,Jumping
220,Jumping
221,Jumping
222,Jumping
223,Jumping
224,Jumping
225,Jumping
226,Jumping
227,Jumping
228,Jumping
229,Jumping
230,Jumping
231,Jumping
232,Jumping
233,Jumping
234,Jumping
235,Jumping
236,Jumping
237,Jumping
238,Jumping
239,Jumping
240,Jumping
241,Jumping
242,Jumping
243,Jumping
244,Jumping
245,Jumping
246,Jumping
247,Jumping
248,Jumping
249,Jumping
250,Sitting
251,Sitting
252,Sitting
253,Sitting
254,Sitting
255,Sitting
256,Sitting
257,Sitting
258,Sitting
259,Sitting
260,Sitting
261,Sitting
262,Sitting
263,Sitting
264,Sitting
265,Sitting
266,Sitting
267,Sitting
268,Sitting
269,Sitting
270,Sitting
271,Sitting
272,Sitting
273,Sitting
274,Sitting
275,Sitting
276,Sitting
277,Sitting
278,Sitting
279,Sitting
280,Sitting
281,Sitting
282,Sitting
283,Sitting
284,Sitting
285,Sitting
286,Sitting
287,Sitting
288,Sitting
289,Sitting
290,Sitting
291,Sitting
292,Sitting
293,Sitting
294,Sitting
295,Sitting
296,Sitting
297,Sitting
298,Sitting
299,Sitting
300,Sitting
301,Sitting
302,Sitting
303,Sitting
304,Sitting
305,Sitting
306,Sitting
307,Sitting
308,Sitting
309,Sitting
310,Sitting
311,Sitting
312,Sitting
313,Sitting
314,Sitting
315,Sitting
316,Sitting
317,Sitting
318,Sitting
319,Sitting
320,Sitting
321,Sitting
322,Sitting
323,Sitting
324,Sitting
325,Sitting
326,Sitting
327,Sitting
328,Sitting
329,Sitting
330,Sitting
331,Sitting
332,Sitting
333,Sitting
334,Sitting
335,Sitting
336,Sitting
337,Sitting
338,Sitting
339,Sitting
340,Sitting
341,Sitting
342,Sitting
343,Sitting
344,Sitting
345,Sitting
346,Sitting
347,Sitting
348,Sitting
349,Sitting
350,Sitting
351,Sitting
352,Sitting
353,Sitting
354,Sitting
355,Sitting
356,Sitting
357,Sitting
358,Sitting
359,Sitting
360,Sitting
361,Sitting
362,Sitting
363,Sitting
364,Sitting
365,Sitting
366,Sitting
367,Sitting
368,Sitting
369,Sitting
370,Sitting
371,Sitting
372,Sitting
373,Sitting
374,Sitting
375,Sitting
376,Sitting
377,Sitting
378,Sitting
379,Sitting
380,Sitting
381,Sitting
382,Sitting
383,Sitting
384,Sitting
385,Sitting
386,Sitting
387,Sitting
388,Sitting
389,Sitting
390,Sitting
391,Sitting
392,Sitting
393,Sitting
394,Sitting
395,Sitting
396,Sitting
397,Sitting
398,Sitting
399,Sitting
400,Sitting
401,Sitting
402,Sitting
403,Sitting
404,Sitting
405,Sitting
406,Sitting
407,Sitting
408,Sitting
409,Sitting
410,Sitting
411,Sitting
412,Sitting
413,Sitting
414,Sitting
415,Sitting
416,Sitting
417,Sitting
418,Sitting
419,Sitting
420,Sitting
421,Sitting
422,Sitting
423,Sitting
424,Sitting
425,Sitting
426,Sitting
427,Sitting
428,Sitting
429,Sitting
430,Sitting
431,Sitting
432,Sitting
433,Sitting
434,Sitting
435,Sitting
436,Sitting
437,Sitting
438,Sitting
439,Sitting
440,Sitting
441,Sitting
442,Sitting
443,Sitting
444,Sitting
445,Sitting
446,Sitting
447,Sitting
448,Sitting
449,Sitting
450,Sitting
451,Standing
452,Standing
453,Standing
454,Standing
455,Standing
456,Standing
457,Standing
458,Standing
459,Standing
460,Standing
461,Standing
462,Standing
463,Standing
464,Standing
465,Standing
466,Standing
467,Standing
468,Standing
469,Standing
470,Standing
471,Standing
472,Standing
473,Standing
474,Standing
475,Standing
476,Standing
477,Standing
478,Standing
479,Standing
480,Standing
481,Standing
482,Standing
483,Standing
484,Standing
485,Standing
486,Standing
487,Standing
488,Standing
489,Standing
490,Standing
491,Standing
492,Standing
493,Standing
494,Standing
495,Standing
496,Standing
497,Standing
498,Standing
499,Standing
500,Standing
501,Standing
502,Standing
503,Standing
504,Standing
505,Standing
506,Standing
507,Standing
508,Standing
509,Standing
510,Standing
511,Standing
512,Standing
513,Standing
514,Standing
515,Standing
516,Standing
517,Standing
518,Standing
519,Standing
520,Standing
521,Standing
