Index,Activity
0,Walking
1,Walking
2,Walking
3,Walking
4,Walking
5,Walking
6,Walking
7,Walking
8,Walking
9,Walking
10,Walking
11,Walking
12,Walking
13,Walking
14,Walking
15,Walking
16,Walking
17,Walking
18,Walking
19,Walking
20,Walking
21,Walking
22,Walking
23,Walking
24,Walking
25,Walking
26,Walking
27,Walking
28,Walking
29,Walking
30,Walking
31,Walking
32,Walking
33,Walking
34,Walking
35,Walking
36,Walking
37,Walking
38,Walking
39,Walking
40,Walking
41,Walking
42,Walking
43,Walking
44,Walking
45,Walking
46,Walking
47,Walking
48,Walking
49,Walking
50,Walking
51,Walking
52,Walking
53,Walking
54,Walking
55,Walking
56,Walking
57,Walking
58,Walking
59,Walking
60,Walking
61,Walking
62,Walking
63,Walking
64,Walking
65,Walking
66,Walking
67,Walking
68,Walking
69,Walking
70,Walking
71,Walking
72,Walking
73,Walking
74,Walking
75,Walking
76,Walking
77,Walking
78,Walking
79,Walking
80,Walking
81,Walking
82,Walking
83,Walking
84,Walking
85,Walking
86,Walking
87,Walking
88,Walking
89,Walking
90,Walking
91,Walking
92,Walking
93,Walking
94,Walking
95,Walking
96,Walking
97,Walking
98,Walking
99,Walking
100,Walking
101,Walking
102,Walking
103,Walking
104,Walking
105,Walking
106,Walking
107,Walking
108,Walking
109,Walking
110,Walking
111,Walking
112,Walking
113,Walking
114,Walking
115,Walking
116,Walking
117,Walking
118,Walking
119,Walking
120,Walking
121,Walking
122,Walking
123,Walking
124,Walking
125,Walking
126,Walking
127,Walking
128,Walking
129,Walking
130,Walking
131,Walking
132,Walking
133,Walking
134,Walking
135,Walking
136,Walking
137,Walking
138,Walking
139,Walking
140,Walking
141,Walking
142,Walking
143,Walking
144,Walking
145,Walking
146,Walking
147,Walking
148,Walking
149,Walking
150,Walking
151,Walking
152,Walking
153,Walking
154,Walking
155,Walking
156,Walking
157,Walking
158,Walking
159,Walking
160,Walking
161,Walking
162,Walking
163,Walking
164,Walking
165,Walking
166,Walking
167,Walking
168,Walking
169,Walking
170,Walking
171,Walking
172,Walking
173,Walking
174,Walking
175,Walking
176,Walking
177,Walking
178,Walking
179,Walking
180,Walking
181,Walking
182,Walking
183,Walking
184,Walking
185,Walking
186,Walking
187,Walking
188,Walking
189,Walking
190,Walking
191,Walking
192,Walking
193,Walking
194,Walking
195,Walking
196,Walking
197,Walking
198,Walking
199,Walking
200,Walking
201,Walking
202,Walking
203,Walking
204,Walking
205,Walking
206,Walking
207,Walking
208,Walking
209,Walking
210,Walking
211,Walking
212,Walking
213,Walking
214,Walking
215,Walking
216,Walking
217,Walking
218,Walking
219,Walking
220,Walking
221,Walking
222,Walking
223,Walking
224,Walking
225,Walking
226,Walking
227,Walking
228,Walking
229,Walking
230,Walking
231,Walking
232,Walking
233,Walking
234,Walking
235,Walking
236,Walking
237,Walking
238,Walking
239,Walking
240,Standing
241,Standing
242,Standing
243,Standing
244,Standing
245,Standing
246,Standing
247,Standing
248,Standing
249,Standing
250,Standing
251,Standing
252,Standing
253,Standing
254,Standing
255,Standing
256,Standing
257,Standing
258,Standing
259,Standing
260,Standing
261,Standing
262,Standing
263,Standing
264,Standing
265,Standing
266,Standing
267,Standing
268,Standing
269,Standing
270,Standing
271,Standing
272,Standing
273,Standing
274,Standing
275,Standing
276,Standing
277,Standing
278,Standing
279,Standing
280,Standing
281,Standing
282,Standing
283,Standing
284,Standing
285,Standing
286,Standing
287,Standing
288,Standing
289,Standing
290,Standing
291,Standing
292,Standing
293,Standing
294,Standing
295,Standing
296,Standing
297,Standing
298,Standing
299,Standing
300,Standing
301,Standing
302,Standing
303,Standing
304,Standing
305,Standing
306,Standing
307,Standing
308,Standing
309,Standing
310,Standing
311,Standing
312,Standing
313,Standing
314,Standing
315,Standing
316,Standing
317,Standing
318,Standing
319,Standing
320,Standing
321,Standing
322,Standing
323,Standing
324,Standing
325,Standing
326,Standing
327,Standing
328,Standing
329,Standing
330,Standing
331,Standing
332,Standing
333,Standing
334,Standing
335,Standing
336,Standing
337,Standing
338,Standing
339,Standing
340,Standing
341,Standing
342,Standing
343,Standing
344,Standing
345,Standing
346,Standing
347,Standing
348,Standing
349,Standing
350,Standing
351,Standing
352,Standing
353,Standing
354,Standing
355,Standing
356,Standing
357,Standing
358,Standing
359,Standing
360,Standing
361,Standing
362,Standing
363,Standing
364,Standing
365,Standing
366,Standing
367,Standing
368,Standing
369,Standing
370,Standing
371,Standing
372,Standing
373,Standing
374,Standing
375,Standing
376,Standing
377,Standing
378,Standing
379,Standing
380,Standing
381,Standing
382,Standing
383,Standing
384,Standing
385,Standing
386,Standing
387,Standing
388,Standing
389,Standing
390,Standing
391,Standing
392,Standing
393,Standing
394,Standing
395,Standing
396,Standing
397,Standing
398,Standing
399,Standing
400,Standing
401,Standing
402,Standing
403,Standing
404,Standing
405,Standing
406,Standing
407,Standing
408,Standing
409,Standing
410,Standing
411,Standing
412,Standing
413,Standing
414,Standing
415,Standing
416,Standing
417,Standing
418,Standing
419,Standing
420,Standing
421,Standing
422,Standing
423,Standing
424,Standing
425,Standing
426,Standing
427,Standing
428,Standing
429,Standing
430,Standing
431,Standing
432,Standing
433,Standing
434,Standing
435,Standing
436,Standing
437,Standing
438,Standing
439,Standing
440,Standing
441,Standing
442,Standing
443,Standing
444,Standing
445,Standing
446,Standing
447,Standing
448,Standing
449,Standing
450,Standing
451,Standing
452,Standing
453,Standing
454,Standing
455,Standing
456,Standing
457,Standing
458,Standing
459,Standing
460,Standing
461,Standing
462,Standing
463,Standing
464,Standing
465,Standing
466,Standing
467,Standing
468,Standing
469,Standing
470,Standing
471,Standing
472,Standing
473,Standing
474,Standing
475,Standing
476,Standing
477,Standing
478,Standing
479,Standing
480,Standing
481,Standing
482,Standing
483,Standing
484,Standing
485,Standing
486,Standing
487,Standing
488,Standing
489,Standing
490,Standing
491,Standing
492,Standing
493,Standing
494,Standing
495,Standing
496,Standing
497,Standing
498,Standing
499,Standing
500,Standing
501,Standing
502,Standing
503,Standing
504,Standing
505,Standing
506,Standing
507,Standing
508,Standing
509,Standing
510,Standing
511,Standing
512,Standing
513,Standing
514,Standing
515,Standing
516,Standing
517,Standing
518,Standing
519,Standing
520,Standing
521,Standing
522,Standing
523,Standing
524,Standing
525,Standing
526,Standing
527,Standing
528,Standing
529,Standing
530,Standing
531,Standing
532,Standing
533,Standing
534,Standing
535,Standing
536,Standing
537,Standing
538,Standing
539,Standing
540,Standing
541,Standing
542,Standing
543,Standing
544,Standing
545,Standing
546,Standing
547,Standing
548,Standing
549,Standing
550,Standing
551,Standing
552,Standing
553,Standing
554,Standing
555,Standing
556,Standing
557,Standing
558,Standing
559,Standing
560,Standing
561,Standing
562,Standing
563,Standing
564,Standing
565,Standing
566,Standing
567,Standing
568,Standing
569,Standing
570,Standing
571,Standing
572,Standing
573,Standing
574,Standing
575,Standing
576,Standing
577,Standing
578,Standing
579,Standing
580,Standing
581,Standing
582,Standing
583,Standing
584,Standing
